journal,issn-l,issn-e,categories
NEW ZEALAND JOURNAL OF FORESTRY SCIENCE,0048-0134,1179-5395,Forestry
NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS,0028-8306,1175-8791,"Geology | Geosciences, Multidisciplinary"
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,0028-8330,1175-8805,Fisheries | Marine & Freshwater Biology | Oceanography
NEW ZEALAND JOURNAL OF ZOOLOGY,0301-4223,1175-8821,Zoology
NEW ZEALAND VETERINARY JOURNAL,0048-0169,1176-0710,Veterinary Sciences
NEXUS NETWORK JOURNAL,1590-5896,1522-4600,History & Philosophy Of Science
NICOTINE & TOBACCO RESEARCH,1462-2203,1469-994X,"Substance Abuse | Public, Environmental & Occupational Health"
NIGERIAN JOURNAL OF CLINICAL PRACTICE,1119-3077,2229-7731,"Medicine, General & Internal"
NIHON REOROJI GAKKAISHI,0387-1533,0387-1533,Mechanics | Polymer Science
NIPPON SUISAN GAKKAISHI,0021-5392,1349-998X,Fisheries
NITRIC OXIDE-BIOLOGY AND CHEMISTRY,1089-8603,1089-8611,Biochemistry & Molecular Biology | Cell Biology
NJAS-IMPACT IN AGRICULTURAL AND LIFE SCIENCES,,2768-5241,"Agriculture, Multidisciplinary"
NMR IN BIOMEDICINE,0952-3480,1099-1492,"Biophysics | Radiology, Nuclear Medicine & Medical Imaging | Spectroscopy"
NODEA-NONLINEAR DIFFERENTIAL EQUATIONS AND APPLICATIONS,1021-9722,1420-9004,"Mathematics, Applied"
NOISE CONTROL ENGINEERING JOURNAL,0736-2501,0736-2501,"Acoustics | Engineering, Multidisciplinary"
NOISE & HEALTH,1463-1741,1998-4030,"Audiology & Speech-Language Pathology | Public, Environmental & Occupational Health"
NONDESTRUCTIVE TESTING AND EVALUATION,1058-9759,1477-2671,"Materials Science, Characterization, Testing"
NONLINEAR ANALYSIS-HYBRID SYSTEMS,1751-570X,1878-7460,"Automation & Control Systems | Mathematics, Applied"
NONLINEAR ANALYSIS-MODELLING AND CONTROL,1392-5113,2335-8963,"Mathematics, Applied | Mathematics, Interdisciplinary Applications | Mechanics"
NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS,1468-1218,1878-5719,"Mathematics, Applied"
NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,0362-546X,1873-5215,"Mathematics, Applied | Mathematics"
NONLINEAR DYNAMICS,0924-090X,1573-269X,"Engineering, Mechanical | Mechanics"
NONLINEARITY,0951-7715,1361-6544,"Mathematics, Applied | Physics, Mathematical"
NONLINEAR PROCESSES IN GEOPHYSICS,1023-5809,1607-7946,"Geosciences, Multidisciplinary | Mathematics, Interdisciplinary Applications | Meteorology & Atmospheric Sciences | Physics, Fluids & Plasmas"
NORDIC JOURNAL OF BOTANY,0107-055X,1756-1051,Plant Sciences
NORDIC JOURNAL OF PSYCHIATRY,0803-9488,1502-4725,Psychiatry
NORDIC PULP & PAPER RESEARCH JOURNAL,0283-2631,2000-0669,"Materials Science, Paper & Wood"
NOROPSIKIYATRI ARSIVI-ARCHIVES OF NEUROPSYCHIATRY,1300-0667,1309-4866,Clinical Neurology
NORTH AMERICAN JOURNAL OF AQUACULTURE,1522-2055,1548-8454,Fisheries
NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,0275-5947,1548-8675,Fisheries
NORTHEASTERN NATURALIST,1092-6194,1938-5307,Biodiversity Conservation | Ecology
NORTH-WESTERN JOURNAL OF ZOOLOGY,1584-9074,1842-6441,Zoology
NORTHWEST SCIENCE,0029-344X,2161-9859,Ecology
NORWEGIAN JOURNAL OF GEOLOGY,2387-5844,2387-5852,"Geosciences, Multidisciplinary"
NOTA LEPIDOPTEROLOGICA,0342-7536,2367-5365,Entomology
NOTARZT,0177-2309,1438-8693,Emergency Medicine
NOTES AND RECORDS-THE ROYAL SOCIETY JOURNAL OF THE HISTORY OF SCIENCE,0035-9149,1743-0178,History & Philosophy Of Science
NOTFALL & RETTUNGSMEDIZIN,1434-6222,1436-0578,Emergency Medicine
NOTORNIS,0029-4470,1177-7680,Ornithology
NOTRE DAME JOURNAL OF FORMAL LOGIC,0029-4527,1939-0726,Mathematics | Logic
NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA,0255-965X,1842-4309,Plant Sciences
NOVA HEDWIGIA,0029-5035,2363-7188,Plant Sciences
NOVON,1055-3177,1945-6174,Plant Sciences
NPG ASIA MATERIALS,1884-4049,1884-4057,"Materials Science, Multidisciplinary"
NPJ 2D MATERIALS AND APPLICATIONS,,2397-7132,"Nanoscience & Nanotechnology | Materials Science, Multidisciplinary | Physics, Applied"
NPJ BIOFILMS AND MICROBIOMES,,2055-5008,Biotechnology & Applied Microbiology | Microbiology
NPJ BREAST CANCER,,2374-4677,Oncology
NPJ CLEAN WATER,,2059-7037,"Engineering, Chemical | Environmental Sciences | Water Resources"
NPJ CLIMATE AND ATMOSPHERIC SCIENCE,2397-3722,2397-3722,Meteorology & Atmospheric Sciences
NPJ COMPUTATIONAL MATERIALS,,2057-3960,"Chemistry, Physical | Materials Science, Multidisciplinary"
NPJ DIGITAL MEDICINE,2398-6352,2398-6352,Health Care Sciences & Services | Medical Informatics
NPJ FLEXIBLE ELECTRONICS,,2397-4621,"Engineering, Electrical & Electronic | Materials Science, Multidisciplinary"
NPJ GENOMIC MEDICINE,,2056-7944,Genetics & Heredity
NPJ HERITAGE SCIENCE,,3059-3220,"Spectroscopy | Chemistry, Analytical | Materials Science, Multidisciplinary"
NPJ MATERIALS DEGRADATION,,2397-2106,"Materials Science, Multidisciplinary"
NPJ MICROGRAVITY,,2373-8065,Multidisciplinary Sciences
NPJ PARKINSONS DISEASE,,2373-8057,Neurosciences
NPJ PRECISION ONCOLOGY,,2397-768X,Oncology
NPJ PRIMARY CARE RESPIRATORY MEDICINE,,2055-1010,Primary Health Care | Respiratory System
NPJ QUANTUM INFORMATION,,2056-6387,"Quantum Science & Technology | Physics, Applied | Physics, Atomic, Molecular & Chemical | Physics, Condensed Matter"
NPJ QUANTUM MATERIALS,,2397-4648,"Materials Science, Multidisciplinary | Quantum Science & Technology | Physics, Applied | Physics, Condensed Matter"
NPJ REGENERATIVE MEDICINE,,2057-3995,"Cell & Tissue Engineering | Engineering, Biomedical"
NPJ SCIENCE OF FOOD,,2396-8370,Food Science & Technology
NPJ SCIENCE OF LEARNING,,2056-7936,Neurosciences
NPJ SYSTEMS BIOLOGY AND APPLICATIONS,,2056-7189,Mathematical & Computational Biology
NPJ VACCINES,,2059-0105,"Immunology | Medicine, Research & Experimental"
NUCLEAR DATA SHEETS,0090-3752,1095-9904,"Physics, Nuclear"
NUCLEAR ENGINEERING AND DESIGN,0029-5493,1872-759X,Nuclear Science & Technology
NUCLEAR ENGINEERING AND TECHNOLOGY,1738-5733,1738-5733,Nuclear Science & Technology
NUCLEAR ENGINEERING INTERNATIONAL,0029-5507,0029-5507,Nuclear Science & Technology
NUCLEAR FUSION,0029-5515,1741-4326,"Physics, Fluids & Plasmas"
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,0168-9002,1872-9576,"Instruments & Instrumentation | Nuclear Science & Technology | Physics, Nuclear | Physics, Particles & Fields"
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,0168-583X,1872-9584,"Instruments & Instrumentation | Nuclear Science & Technology | Physics, Atomic, Molecular & Chemical | Physics, Nuclear"
NUCLEAR MATERIALS AND ENERGY,,2352-1791,Nuclear Science & Technology
NUCLEAR MEDICINE AND BIOLOGY,0969-8051,1872-9614,"Radiology, Nuclear Medicine & Medical Imaging"
NUCLEAR MEDICINE COMMUNICATIONS,0143-3636,1473-5628,"Radiology, Nuclear Medicine & Medical Imaging"
NUCLEAR PHYSICS A,0375-9474,1873-1554,"Physics, Nuclear"
NUCLEAR PHYSICS B,0550-3213,1873-1562,"Physics, Particles & Fields"
NUCLEAR SCIENCE AND ENGINEERING,0029-5639,1943-748X,Nuclear Science & Technology
NUCLEAR SCIENCE AND TECHNIQUES,1001-8042,2210-3147,"Nuclear Science & Technology | Physics, Nuclear"
NUCLEAR TECHNOLOGY,0029-5450,1943-7471,Nuclear Science & Technology
NUCLEAR TECHNOLOGY & RADIATION PROTECTION,1451-3994,1452-8185,Nuclear Science & Technology
NUCLEIC ACIDS RESEARCH,0305-1048,1362-4962,Biochemistry & Molecular Biology
NUCLEIC ACID THERAPEUTICS,2159-3337,2159-3345,"Biochemistry & Molecular Biology | Chemistry, Medicinal | Medicine, Research & Experimental"
NUCLEOSIDES NUCLEOTIDES & NUCLEIC ACIDS,1525-7770,1532-2335,Biochemistry & Molecular Biology
NUCLEUS,1949-1034,1949-1042,Cell Biology
NUKLEARMEDIZIN-NUCLEAR MEDICINE,0029-5566,2567-6407,"Radiology, Nuclear Medicine & Medical Imaging"
NUKLEONIKA,0029-5922,1508-5791,"Chemistry, Inorganic & Nuclear | Physics, Nuclear"
NUMERICAL ALGORITHMS,1017-1398,1572-9265,"Mathematics, Applied"
NUMERICAL FUNCTIONAL ANALYSIS AND OPTIMIZATION,0163-0563,1532-2467,"Mathematics, Applied"
NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,1040-7782,1521-0634,Thermodynamics | Mechanics
NUMERICAL HEAT TRANSFER PART B-FUNDAMENTALS,1040-7790,1521-0626,Thermodynamics | Mechanics
NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,1070-5325,1099-1506,"Mathematics, Applied | Mathematics"
NUMERICAL MATHEMATICS-THEORY METHODS AND APPLICATIONS,1004-8979,2079-7338,"Mathematics, Applied | Mathematics"
NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS,0749-159X,1098-2426,"Mathematics, Applied"
NUMERISCHE MATHEMATIK,0029-599X,0945-3245,"Mathematics, Applied"
NUNCIUS-JOURNAL OF THE HISTORY OF SCIENCE,0394-7394,1825-3911,History & Philosophy Of Science
NURSE EDUCATION IN PRACTICE,1471-5953,1873-5223,Nursing
NURSE EDUCATION TODAY,0260-6917,1532-2793,"Education, Scientific Disciplines | Nursing"
NURSE EDUCATOR,0363-3624,1538-9855,Nursing
NURSING CLINICS OF NORTH AMERICA,0029-6465,1558-1357,Nursing
NURSING ECONOMICS,0746-1739,,Nursing
NURSING ETHICS,0969-7330,1477-0989,Nursing
NURSING & HEALTH SCIENCES,1441-0745,1442-2018,Nursing
NURSING IN CRITICAL CARE,1362-1017,1478-5153,Nursing
NURSING INQUIRY,1320-7881,1440-1800,Nursing
NURSING OPEN,2054-1058,2054-1058,Nursing
NURSING OUTLOOK,0029-6554,1528-3968,Nursing
NURSING PHILOSOPHY,1466-7681,1466-769X,Nursing
NURSING RESEARCH,0029-6562,1538-9847,Nursing
NURSING SCIENCE QUARTERLY,0894-3184,1552-7409,Nursing
NUTRICION HOSPITALARIA,0212-1611,1699-5198,Nutrition & Dietetics
NUTRIENT CYCLING IN AGROECOSYSTEMS,1385-1314,1573-0867,Soil Science
NUTRIENTS,,2072-6643,Nutrition & Dietetics
NUTRITION,0899-9007,1873-1244,Nutrition & Dietetics
NUTRITIONAL NEUROSCIENCE,1028-415X,1476-8305,Neurosciences | Nutrition & Dietetics
NUTRITION AND CANCER-AN INTERNATIONAL JOURNAL,0163-5581,1532-7914,Oncology | Nutrition & Dietetics
NUTRITION BULLETIN,1471-9827,1467-3010,Nutrition & Dietetics
NUTRITION CLINIQUE ET METABOLISME,0985-0562,1768-3092,Endocrinology & Metabolism | Nutrition & Dietetics
NUTRITION & DIABETES,2044-4052,2044-4052,Endocrinology & Metabolism | Nutrition & Dietetics
NUTRITION & DIETETICS,1446-6368,1747-0080,Nutrition & Dietetics
NUTRITION IN CLINICAL PRACTICE,0884-5336,1941-2452,Nutrition & Dietetics
NUTRITION JOURNAL,,1475-2891,Nutrition & Dietetics
NUTRITION & METABOLISM,,1743-7075,Nutrition & Dietetics
NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,0939-4753,1590-3729,Cardiac & Cardiovascular System | Endocrinology & Metabolism | Nutrition & Dietetics
NUTRITION RESEARCH,0271-5317,1879-0739,Nutrition & Dietetics
NUTRITION RESEARCH AND PRACTICE,1976-1457,2005-6168,Nutrition & Dietetics
NUTRITION RESEARCH REVIEWS,0954-4224,1475-2700,Nutrition & Dietetics
NUTRITION REVIEWS,0029-6643,1753-4887,Nutrition & Dietetics
OBESITY,1930-7381,1930-739X,Endocrinology & Metabolism | Nutrition & Dietetics
OBESITY FACTS,1662-4025,1662-4033,Endocrinology & Metabolism | Nutrition & Dietetics
OBESITY RESEARCH & CLINICAL PRACTICE,1871-403X,1878-0318,Endocrinology & Metabolism | Nutrition & Dietetics
OBESITY REVIEWS,1467-7881,1467-789X,Endocrinology & Metabolism
OBESITY SURGERY,0960-8923,1708-0428,Surgery
OBSERVATORY,0029-7704,,Astronomy & Astrophysics
OBSTETRICAL & GYNECOLOGICAL SURVEY,0029-7828,1533-9866,Obstetrics & Gynecology
OBSTETRICS AND GYNECOLOGY,0029-7844,0029-7844,Obstetrics & Gynecology
OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,0889-8545,1558-0474,Obstetrics & Gynecology
OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,1351-0711,1470-7926,"Public, Environmental & Occupational Health"
OCCUPATIONAL MEDICINE-OXFORD,0962-7480,1471-8405,"Public, Environmental & Occupational Health"
OCCUPATIONAL THERAPY INTERNATIONAL,0966-7903,1557-0703,Rehabilitation
OCEAN AND COASTAL RESEARCH,,2675-2824,Marine & Freshwater Biology | Oceanography
OCEAN & COASTAL MANAGEMENT,0964-5691,1873-524X,Oceanography | Water Resources
OCEAN DYNAMICS,1616-7341,1616-7228,Oceanography
OCEAN ENGINEERING,0029-8018,1873-5258,"Engineering, Marine | Engineering, Civil | Engineering, Ocean | Oceanography"
OCEAN MODELLING,1463-5003,1463-5011,Meteorology & Atmospheric Sciences | Oceanography
OCEANOGRAPHY,1042-8275,1042-8275,Oceanography
OCEANOLOGIA,0078-3234,2300-7370,Oceanography
OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,1730-413X,1897-3191,Oceanography
OCEANOLOGY,0001-4370,1531-8508,Oceanography
OCEAN SCIENCE,1812-0784,1812-0792,Meteorology & Atmospheric Sciences | Oceanography
OCEAN SCIENCE JOURNAL,1738-5261,2005-7172,Marine & Freshwater Biology | Oceanography
OCULAR IMMUNOLOGY AND INFLAMMATION,0927-3948,1744-5078,Ophthalmology
OCULAR SURFACE,1542-0124,1937-5913,Ophthalmology
ODONATOLOGICA,0375-0183,0375-0183,Entomology
ODONTOLOGY,1618-1247,1618-1255,"Dentistry, Oral Surgery & Medicine"
OECOLOGIA,0029-8549,1432-1939,Ecology
OENO ONE,,2494-1271,Food Science & Technology | Horticulture
OFIOLITI,0391-2612,,Geology
OIKOS,0030-1299,1600-0706,Ecology
OIL SHALE,0208-189X,1736-7492,"Energy & Fuels | Engineering, Petroleum"
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,0305-0483,1873-5274,Operations Research & Management Science
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,1536-2310,1557-8100,Biotechnology & Applied Microbiology | Genetics & Heredity
ONCOGENE,0950-9232,1476-5594,Biochemistry & Molecular Biology | Oncology | Cell Biology | Genetics & Heredity
ONCOGENESIS,2157-9024,2157-9024,Oncology
ONCOIMMUNOLOGY,2162-402X,2162-402X,Oncology | Immunology
ONCOLOGIE,1292-3818,1765-2839,Oncology
ONCOLOGIST,1083-7159,1549-490X,Oncology
ONCOLOGY,0030-2414,1423-0232,Oncology
ONCOLOGY LETTERS,1792-1074,1792-1082,Oncology
ONCOLOGY-NEW YORK,0890-9091,2767-7389,Oncology
ONCOLOGY NURSING FORUM,0190-535X,1538-0688,Oncology | Nursing
ONCOLOGY REPORTS,1021-335X,1791-2431,Oncology
ONCOLOGY RESEARCH,0965-0407,1555-3906,Oncology
ONCOLOGY RESEARCH AND TREATMENT,2296-5270,2296-5262,Oncology
ONCOTARGETS AND THERAPY,1178-6930,1178-6930,Biotechnology & Applied Microbiology | Oncology
ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH,0030-2465,2219-0635,Veterinary Sciences
ONE EARTH,2590-3330,2590-3322,Green & Sustainable Science & Technology | Environmental Sciences
ONE HEALTH,,2352-7714,"Public, Environmental & Occupational Health | Infectious Diseases"
ONKOLOGIE,2731-7226,2731-7234,Oncology
ONLINE INFORMATION REVIEW,1468-4527,1468-4535,"Computer Science, Information Systems"
OPEN ASTRONOMY,,2543-6376,Astronomy & Astrophysics
OPEN BIOLOGY,,2046-2441,Biochemistry & Molecular Biology
OPEN CHEMISTRY,2391-5420,2391-5420,"Chemistry, Multidisciplinary"
OPEN FORUM INFECTIOUS DISEASES,2328-8957,2328-8957,Immunology | Infectious Diseases | Microbiology
OPEN GEOSCIENCES,2391-5447,2391-5447,"Geosciences, Multidisciplinary"
OPEN LIFE SCIENCES,2391-5412,2391-5412,Biology
OPEN MATHEMATICS,2391-5455,2391-5455,Mathematics
OPEN MEDICINE,2391-5463,2391-5463,"Medicine, General & Internal"
OPEN PHYSICS,2391-5471,2391-5471,"Physics, Multidisciplinary"
OPEN SYSTEMS & INFORMATION DYNAMICS,1230-1612,1793-7191,"Physics, Mathematical | Statistics & Probability"
OPERATIONAL RESEARCH,1109-2858,1866-1505,Operations Research & Management Science
OPERATIONS RESEARCH,0030-364X,1526-5463,Operations Research & Management Science
OPERATIONS RESEARCH LETTERS,0167-6377,1872-7468,Operations Research & Management Science
OPERATIONS RESEARCH PERSPECTIVES,,2214-7160,Operations Research & Management Science
OPERATIVE DENTISTRY,0361-7734,1559-2863,"Dentistry, Oral Surgery & Medicine"
OPERATIVE NEUROSURGERY,2332-4252,2332-4260,Clinical Neurology | Surgery
OPERATIVE ORTHOPADIE UND TRAUMATOLOGIE,0934-6694,1439-0981,Orthopedics
OPERATIVE TECHNIQUES IN SPORTS MEDICINE,1060-1872,1557-9794,Sport Sciences | Surgery
OPERATORS AND MATRICES,1846-3886,1846-3886,Mathematics
OPHTHALMIC AND PHYSIOLOGICAL OPTICS,0275-5408,1475-1313,Ophthalmology
OPHTHALMIC EPIDEMIOLOGY,0928-6586,1744-5086,Ophthalmology
OPHTHALMIC GENETICS,1381-6810,1744-5094,Genetics & Heredity | Ophthalmology
OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY,0740-9303,1537-2677,Ophthalmology | Surgery
OPHTHALMIC RESEARCH,0030-3747,1423-0259,Ophthalmology
OPHTHALMIC SURGERY LASERS & IMAGING RETINA,2325-8160,2325-8179,Ophthalmology | Surgery
OPHTHALMOLOGICA,0030-3755,1423-0267,Ophthalmology
OPHTHALMOLOGIE,2731-720X,2731-7218,Ophthalmology
OPHTHALMOLOGY,0161-6420,1549-4713,Ophthalmology
OPHTHALMOLOGY AND THERAPY,2193-8245,2193-6528,Ophthalmology
OPTICA,2334-2536,2334-2536,Optics
OPTICA APPLICATA,0078-5466,1899-7015,Optics
OPTICAL AND QUANTUM ELECTRONICS,0306-8919,1572-817X,"Engineering, Electrical & Electronic | Quantum Science & Technology | Optics"
OPTICAL ENGINEERING,0091-3286,1560-2303,Optics
OPTICAL FIBER TECHNOLOGY,1068-5200,1095-9912,"Engineering, Electrical & Electronic | Optics | Telecommunications"
OPTICAL MATERIALS,0925-3467,1873-1252,"Materials Science, Multidisciplinary | Optics"
OPTICAL MATERIALS EXPRESS,2159-3930,2159-3930,"Materials Science, Multidisciplinary | Optics"
OPTICAL REVIEW,1340-6000,1349-9432,Optics
OPTICAL SWITCHING AND NETWORKING,1573-4277,1872-9770,"Computer Science, Information Systems | Optics | Telecommunications"
OPTICS AND LASERS IN ENGINEERING,0143-8166,1873-0302,Optics
OPTICS AND LASER TECHNOLOGY,0030-3992,1879-2545,"Optics | Physics, Applied"
OPTICS AND SPECTROSCOPY,0030-400X,1562-6911,Optics | Spectroscopy
OPTICS COMMUNICATIONS,0030-4018,1873-0310,Optics
OPTICS EXPRESS,1094-4087,1094-4087,Optics
OPTICS LETTERS,0146-9592,1539-4794,Optics
OPTIMAL CONTROL APPLICATIONS & METHODS,0143-2087,1099-1514,"Automation & Control Systems | Operations Research & Management Science | Mathematics, Applied"
OPTIMIZATION,0233-1934,1029-4945,"Operations Research & Management Science | Mathematics, Applied"
OPTIMIZATION AND ENGINEERING,1389-4420,1573-2924,"Engineering, Multidisciplinary | Operations Research & Management Science | Mathematics, Interdisciplinary Applications"
OPTIMIZATION LETTERS,1862-4472,1862-4480,"Operations Research & Management Science | Mathematics, Applied"
OPTIMIZATION METHODS & SOFTWARE,1055-6788,1029-4937,"Computer Science, Software Engineering | Operations Research & Management Science | Mathematics, Applied"
OPTO-ELECTRONIC ADVANCES,2096-4579,2097-3993,Optics
OPTOELECTRONICS AND ADVANCED MATERIALS-RAPID COMMUNICATIONS,1842-6573,2065-3824,"Materials Science, Multidisciplinary | Optics"
OPTO-ELECTRONICS REVIEW,1230-3402,1896-3757,"Engineering, Electrical & Electronic | Optics | Physics, Applied"
OPTOMETRY AND VISION SCIENCE,1040-5488,1538-9235,Ophthalmology
ORAL AND MAXILLOFACIAL SURGERY CLINICS OF NORTH AMERICA,1042-3699,1558-1365,"Dentistry, Oral Surgery & Medicine"
ORAL DISEASES,1354-523X,1601-0825,"Dentistry, Oral Surgery & Medicine"
ORAL HEALTH & PREVENTIVE DENTISTRY,1602-1622,1757-9996,"Dentistry, Oral Surgery & Medicine"
ORAL ONCOLOGY,1368-8375,1879-0593,"Oncology | Dentistry, Oral Surgery & Medicine"
ORAL RADIOLOGY,0911-6028,1613-9674,"Dentistry, Oral Surgery & Medicine"
ORAL SURGERY ORAL MEDICINE ORAL PATHOLOGY ORAL RADIOLOGY,2212-4403,2212-4411,"Dentistry, Oral Surgery & Medicine"
ORDER-A JOURNAL ON THE THEORY OF ORDERED SETS AND ITS APPLICATIONS,0167-8094,1572-9273,Mathematics
ORE GEOLOGY REVIEWS,0169-1368,1872-7360,Geology | Mineralogy | Mining & Mineral Processing
ORGANIC & BIOMOLECULAR CHEMISTRY,1477-0520,1477-0539,"Chemistry, Organic"
ORGANIC CHEMISTRY FRONTIERS,2052-4129,2052-4129,"Chemistry, Organic"
ORGANIC ELECTRONICS,1566-1199,1878-5530,"Materials Science, Multidisciplinary | Physics, Applied"
ORGANIC GEOCHEMISTRY,0146-6380,1873-5290,Geochemistry & Geophysics
ORGANIC LETTERS,1523-7060,1523-7052,"Chemistry, Organic"
ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL,0030-4948,1945-5453,"Chemistry, Organic"
ORGANIC PROCESS RESEARCH & DEVELOPMENT,1083-6160,1520-586X,"Chemistry, Applied | Chemistry, Organic"
ORGANISMS DIVERSITY & EVOLUTION,1439-6092,1618-1077,Evolutionary Biology | Zoology
ORGANOGENESIS,1547-6278,1555-8592,"Biochemistry & Molecular Biology | Developmental Biology | Engineering, Biomedical"
ORGANOMETALLICS,0276-7333,1520-6041,"Chemistry, Inorganic & Nuclear | Chemistry, Organic"
ORIENTAL INSECTS,0030-5316,2157-8745,Entomology
ORL-JOURNAL FOR OTO-RHINO-LARYNGOLOGY HEAD AND NECK SURGERY,0301-1569,1423-0275,Otorhinolaryngology
ORNIS FENNICA,0030-5685,0030-5685,Ornithology
ORNITHOLOGICAL APPLICATIONS,0010-5422,2732-4621,Ornithology
ORNITHOLOGICAL SCIENCE,1347-0558,1347-0558,Ornithology
ORNITHOLOGY,0004-8038,2732-4613,Ornithology
ORNITHOLOGY RESEARCH,,2662-673X,Ornithology
ORNITOLOGIA NEOTROPICAL,1075-4377,1075-4377,Ornithology
ORPHANET JOURNAL OF RARE DISEASES,,1750-1172,"Genetics & Heredity | Medicine, Research & Experimental"
OR SPECTRUM,0171-6468,1436-6304,Operations Research & Management Science
ORTHODONTICS & CRANIOFACIAL RESEARCH,1601-6335,1601-6343,"Dentistry, Oral Surgery & Medicine"
ORTHOPADIE,2731-7145,2731-7153,Orthopedics
ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,,2325-9671,Orthopedics | Sport Sciences
ORTHOPAEDIC NURSING,0744-6020,1542-538X,Nursing | Orthopedics
