,journal,issn-l,issn-e,categories,oa-id
11039,CLINICAL COSMETIC AND INVESTIGATIONAL DENTISTRY,1179-1357,1179-1357,"Dentistry, Oral Surgery & Medicine",S81079604
11040,CLINICAL DIABETOLOGY,2450-8187,2450-8187,Endocrinology & Metabolism,S2738655703
11041,CLINICAL ENDOSCOPY,2234-2400,2234-2443,Gastroenterology & Hepatology,S2755109226
11042,CLINICAL EPIDEMIOLOGY AND GLOBAL HEALTH,2452-0918,2213-3984,"Public, Environmental & Occupational Health",S2764432518
11043,CLINICAL EPILEPTOLOGY,2948-104X,2948-1058,Clinical Neurology,S4387287704
11044,CLINICAL HYPERTENSION,,2056-5909,Peripheral Vascular Diseases,
11045,CLINICAL JOURNAL OF GASTROENTEROLOGY,1865-7257,1865-7265,Gastroenterology & Hepatology,S36464285
11046,CLINICAL LACTATION,2158-0782,2158-0537,Nursing,S2764976401
11047,CLINICAL MANAGEMENT ISSUES,1973-4832,2283-3137,"Medicine, General & Internal",S2764990342
11048,CLINICAL MEDICINE INSIGHTS-ARTHRITIS AND MUSCULOSKELETAL DISORDERS,1179-5441,1179-5441,Orthopedics,S2765055611
11049,CLINICAL MEDICINE INSIGHTS-CARDIOLOGY,1179-5468,1179-5468,Cardiac & Cardiovascular System,S4210177157
11050,CLINICAL MEDICINE INSIGHTS-CASE REPORTS,1179-5476,1179-5476,"Medicine, General & Internal",S2764641828
11051,CLINICAL MEDICINE INSIGHTS-ENDOCRINOLOGY AND DIABETES,1179-5514,1179-5514,Endocrinology & Metabolism,S4210222520
11052,CLINICAL MEDICINE INSIGHTS-PEDIATRICS,1179-5565,1179-5565,Pediatrics,S4210202035
11053,CLINICAL MEDICINE & RESEARCH,1539-4182,1554-6179,"Medicine, General & Internal",S120772771
11054,CLINICAL NEUROPHYSIOLOGY PRACTICE,2467-981X,2467-981X,Neurosciences,S2898474876
11055,CLINICAL NEUROPSYCHIATRY,1724-4935,2385-0787,Clinical Neurology | Psychiatry,S4393917699
11056,CLINICAL NUTRITION ESPEN,2405-4577,2405-4577,Nutrition & Dietetics,S2764915710
11057,CLINICAL OBESITY,1758-8103,1758-8111,Endocrinology & Metabolism,S2764409503
11058,CLINICAL OPHTHALMOLOGY,1177-5483,1177-5483,Ophthalmology,S105513329
11059,CLINICAL OPTOMETRY,1179-2752,1179-2752,Ophthalmology,S4210199544
11060,CLINICAL PARKINSONISM & RELATED DISORDERS,,2590-1125,Clinical Neurology,
11061,CLINICAL PEDIATRIC ENDOCRINOLOGY,0918-5739,1347-7358,Endocrinology & Metabolism,S122355471
11062,CLINICAL PHARMACOLOGY-ADVANCES AND APPLICATIONS,,1179-1438,Pharmacology & Pharmacy,
11063,CLINICAL PRACTICE IN PEDIATRIC PSYCHOLOGY,2169-4826,2169-4834,"Psychology, Clinical | Psychology, Development",S2764851407
11064,CLINICAL PSYCHOLOGY AND SPECIAL EDUCATION,2304-0394,2304-0394,"Psychology, Clinical",S2739167356
11065,CLINICAL PSYCHOLOGY IN EUROPE,2625-3410,2625-3410,"Psychology, Clinical",S4210220814
11066,CLINICAL SOCIAL WORK AND HEALTH INTERVENTION,2222-386X,2076-9741,"Public, Environmental & Occupational Health",S4210226137
11067,CLINICAL SUPERVISOR,0732-5223,1545-231X,"Health Policy & Services | Psychology, Clinical",S85618544
11068,CLINICAL TEACHER,1743-4971,1743-498X,"Medicine, Research & Experimental",S2280673
11069,CLINICAL & TRANSLATIONAL METABOLISM,2948-2437,2948-2445,Endocrinology & Metabolism,
11070,CLINICOECONOMICS AND OUTCOMES RESEARCH,1178-6981,1178-6981,Health Care Sciences & Services,S2736382696
11071,CLINICS AND PRACTICE,2039-7275,2039-7283,"Medicine, General & Internal",S2764444712
11072,CLINICS IN SHOULDER AND ELBOW,2288-8721,2288-8721,Orthopedics,S2764697600
11073,CLIO AMERICA,1909-941X,2389-7848,Business,S2737307029
11074,CLOCKS & SLEEP,,2624-5175,Clinical Neurology | Neurosciences,
11075,CLOTHING CULTURES,2050-0742,2050-0750,"Humanities, Multidisciplinary",S4210179908
11076,CNL NUCLEAR REVIEW,2369-6923,2369-6931,Nuclear Science & Technology,S4210177321
11077,COACHING-AN INTERNATIONAL JOURNAL OF THEORY RESEARCH AND PRACTICE,1752-1882,1752-1890,"Psychology, Applied",S4210188769
11078,COCHLEAR IMPLANTS INTERNATIONAL,1467-0100,1754-7628,Otorhinolaryngology,S115217459
11079,CODAS,2317-1782,2317-1782,Audiology & Speech-Language Pathology,S4210176618
11080,CODEX AQUILARENSIS,0214-896X,2386-6454,Medieval & Renaissance Studies,
11081,CODRUL COSMINULUI,1224-032X,2067-5860,Area Studies | History,S4210228923
11082,COGENT ARTS & HUMANITIES,2331-1983,2331-1983,"Humanities, Multidisciplinary",S2738771326
11083,COGENT BUSINESS & MANAGEMENT,2331-1975,2331-1975,Business,S2738076829
11084,COGENT ECONOMICS & FINANCE,2332-2039,2332-2039,Economics,S2765075218
11085,COGENT EDUCATION,2331-186X,2331-186X,Education & Educational Research,S2764918247
11086,COGENT ENGINEERING,2331-1916,2331-1916,"Engineering, Multidisciplinary",S2764513175
11087,COGENT PSYCHOLOGY,2331-1908,2331-1908,"Psychology, Multidisciplinary",S2764824912
11088,COGENT SOCIAL SCIENCES,2331-1886,2331-1886,"Social Sciences, Interdisciplinary",S2737998943
11089,COGNITEXTES,1958-5322,1958-5322,Linguistics,S4210179096
11090,COGNITIVE BEHAVIOUR THERAPIST,1754-470X,1754-470X,"Psychology, Clinical",S111598299
11091,COGNITIVE COMPUTATION AND SYSTEMS,,2517-7567,"Computer Science, Artificial Intelligence | Robotics",
11092,COGNITIVE LINGUISTIC STUDIES,2213-8722,2213-8730,Communication | Language & Linguistics,S4210184906
11093,COGNITIVE SEMANTICS,2352-6408,2352-6416,Linguistics | Language & Linguistics,S4210197614
11094,COGNITIVE STUDIES-ETUDES COGNITIVES,2080-7147,2392-2397,Language & Linguistics,S4210230754
11095,COKE AND CHEMISTRY,1068-364X,1934-8398,"Engineering, Chemical",S189275470
11096,COLLAGEN AND LEATHER,2097-1419,2731-6998,"Chemistry, Applied | Materials Science, Multidisciplinary",S4392228693
11097,COLLECTANEA CHRISTIANA ORIENTALIA,1697-2104,2386-7442,Religion,S4210170814
11098,COLLECTION AND CURATION,2514-9326,2514-9326,Information Science & Library Science,S4210195919
11099,COLLECTION MANAGEMENT,0146-2679,1545-2549,Information Science & Library Science,S74504252
11100,COLLECTIVUS-REVISTA DE CIENCIAS SOCIALES,2382-4018,2382-4018,Area Studies,S2737932174
11101,COLLEGE & UNDERGRADUATE LIBRARIES,1069-1316,1545-2530,Information Science & Library Science,S198628499
11102,COLLNET JOURNAL OF SCIENTOMETRICS AND INFORMATION MANAGEMENT,0973-7766,2168-930X,Information Science & Library Science,S2764846277
11103,COLLOIDS AND INTERFACES,,2504-5377,"Chemistry, Physical",
11104,COLLOQUIA HUMANISTICA,2081-6774,2392-2419,"Humanities, Multidisciplinary",S4210194854
11105,COLLOQUY-TEXT THEORY CRITIQUE,1447-0950,1447-0950,Literary Theory & Criticism,
11106,COLMENA-REVISTA DE LA UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,1405-6313,2448-6302,"Humanities, Multidisciplinary",S2736727124
11107,COLOMBIA INTERNACIONAL,0121-5612,1900-6004,International Relations | Political Science,S2738872911
11108,COLOMBIAN APPLIED LINGUISTICS JOURNAL,0123-4641,2248-7085,Linguistics,S2764502050
11109,COLOPROCTOLOGY,0174-2442,1615-6730,Gastroenterology & Hepatology,S77791401
11110,COLORECTAL CANCER,1758-194X,1758-1958,Oncology,S2764505272
11111,COMBINATORICS AND NUMBER THEORY,2996-2196,2996-220X,Mathematics,
11112,COMECHINGONIA,0326-7911,2250-7728,Archaeology,S4210204994
11113,COMEDIA PERFORMANCE,1553-6505,2572-4428,"Literature, Romance | Theater",S4210183307
11114,COMICS GRID-JOURNAL OF COMICS SCHOLARSHIP,2048-0792,2048-0792,"Humanities, Multidisciplinary",S4210183157
11115,COMMENTATIONES MATHEMATICAE UNIVERSITATIS CAROLINAE,0010-2628,1213-7243,Mathematics,S4210190833
11116,COMMONWEALTH & COMPARATIVE POLITICS,1466-2043,1743-9094,Political Science,S4210187268
11117,COMMONWEALTH JOURNAL OF LOCAL GOVERNANCE,1836-0394,1836-0394,Public Administration,S2764345097
11118,COMMUNICABLE DISEASES INTELLIGENCE,,2209-6051,Infectious Diseases,
11119,COMMUNICARE-JOURNAL FOR COMMUNICATION SCIENCES IN SOUTHERN AFRICA,0259-0069,0259-0069,Communication,S4387280903
11120,COMMUNICATION AND THE PUBLIC,2057-0473,2057-0481,Communication,S4386621723
11121,COMMUNICATION EDUCATION,0363-4523,1479-5795,Communication | Education & Educational Research,S68257882
11122,COMMUNICATION LAW AND POLICY,1081-1680,1532-6926,Law,S89052442
11123,COMMUNICATION QUARTERLY,0146-3373,1746-4102,Communication,S43587112
11124,COMMUNICATION REPORTS,0893-4215,1745-1043,Communication,S143032485
11125,COMMUNICATION RESEARCH AND PRACTICE,2204-1451,2206-3374,Communication,S4210189436
11126,COMMUNICATION RESEARCH REPORTS,0882-4096,1746-4099,Communication,S91956071
11127,COMMUNICATION REVIEW,1071-4421,1547-7487,Communication,S4210181835
11128,COMMUNICATION SCIENCES AND DISORDERS-CSD,2288-1328,2288-0917,Audiology & Speech-Language Pathology,S2764677374
11129,COMMUNICATIONS ENGINEERING,,2731-3395,"Engineering, Multidisciplinary",
11130,COMMUNICATIONS FACULTY OF SCIENCES UNIVERSITY OF ANKARA-SERIES A1 MATHEMATICS AND STATISTICS,1303-5991,1303-5991,Mathematics,S4210232279
11131,COMMUNICATIONS FOR STATISTICAL APPLICATIONS AND METHODS,2287-7843,2383-4757,Statistics & Probability,S2764911580
11132,COMMUNICATIONS IN APPLIED AND INDUSTRIAL MATHEMATICS,,2038-0909,Mathematics,
11133,COMMUNICATIONS IN COMBINATORICS AND OPTIMIZATION,2538-2128,2538-2136,"Mathematics, Applied | Mathematics",S4306506632
11134,COMMUNICATIONS IN INFORMATION AND SYSTEMS,1526-7555,2163-4548,"Computer Science, Information Systems",S2765060502
11135,COMMUNICATIONS IN INFORMATION LITERACY,1933-5954,1933-5954,Information Science & Library Science,S2738580907
11136,COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCE,2052-2541,2052-2541,"Computer Science, Information Systems",S4210228219
11137,COMMUNICATIONS IN MATHEMATICS AND APPLICATIONS,0976-5905,0975-8607,Mathematics,S2764867202
11138,COMMUNICATIONS MATERIALS,,2662-4443,"Materials Science, Multidisciplinary",
11139,COMMUNICATIONS MEDICINE,2730-664X,2730-664X,"Medicine, Research & Experimental",S4210167893
11140,COMMUNICATION & SOCIETY-SPAIN,2386-7876,2386-7876,Communication,S1002109714
11141,COMMUNICATIONS OF THE ASSOCIATION FOR INFORMATION SYSTEMS,1529-3181,1529-3181,"Computer Science, Information Systems",S4210239688
11142,COMMUNICATIONS OF THE KOREAN MATHEMATICAL SOCIETY,1225-1763,2234-3024,Mathematics,S202545642
11143,COMMUNICATIONS ON ANALYSIS AND COMPUTATION,,2837-0562,"Mathematics | Mathematics, Applied",
11144,COMMUNICATIONS ON APPLIED MATHEMATICS AND COMPUTATION,2096-6385,2661-8893,"Mathematics, Applied",S4210175860
11145,COMMUNICATION STUDIES,1051-0974,1745-1035,Communication,S4210190227
11146,COMMUNICATION TEACHER,1740-4622,1740-4630,Communication,S126319040
11147,COMMUNICATION TODAY,1338-130X,1338-130X,Communication,S2764723090
11148,COMMUNICATIO-SOUTH AFRICAN JOURNAL FOR COMMUNICATION THEORY AND RESEARCH,0250-0167,1753-5379,Communication,S4210215472
11149,COMMUNIQUER,,2368-9587,Communication,
11150,COMMUNITAS,1023-0556,2415-0525,Communication,S4210178190
11151,COMMUNITY COLLEGE JOURNAL OF RESEARCH AND PRACTICE,1066-8926,1521-0413,Education & Educational Research,S21299528
11152,COMMUNITY COLLEGE REVIEW,0091-5521,1940-2325,Education & Educational Research,S73080522
11153,COMMUNITY DEVELOPMENT,1557-5330,1944-7485,Development Studies,S207068962
11154,COMMUNITY HEALTH EQUITY RESEARCH & POLICY,2752-535X,2752-5368,"Public, Environmental & Occupational Health",S4210237973
11155,COMMUNITY WORK & FAMILY,1366-8803,1469-3615,Sociology,S93028289
11156,COMPANY AND SECURITIES LAW JOURNAL,0729-2775,0729-2775,Law,S2764939569
11157,COMPARATIST,0195-7678,1559-0887,Literature,S164575829
11158,COMPARATIVE AMERICAN STUDIES,1477-5700,1741-2676,"Humanities, Multidisciplinary",S145670381
11159,COMPARATIVE AND CONTINENTAL PHILOSOPHY,1757-0638,1757-0646,Philosophy,S105010142
11160,COMPARATIVE AND INTERNATIONAL LAW JOURNAL OF SOUTHERN AFRICA-CILSA,0010-4051,0010-4051,Law,S93955710
11161,COMPARATIVE COGNITION & BEHAVIOR REVIEWS,1911-4745,1911-4745,Behavioral Sciences,S101023550
11162,COMPARATIVE ECONOMIC RESEARCH-CENTRAL AND EASTERN EUROPE,1508-2008,2082-6737,Economics,S187998666
11163,COMPARATIVE ECONOMIC STUDIES,0888-7233,1478-3320,Economics,S120949314
11164,COMPARATIVE EXERCISE PHYSIOLOGY,1755-2540,1755-2559,Veterinary Sciences,S132612542
11165,COMPARATIVE IMMUNOLOGY REPORTS,,2950-3116,Marine & Freshwater Biology | Immunology | Fisheries,
11166,COMPARATIVE LEGAL HISTORY,2049-677X,2049-6788,Law,S4210200824
11167,COMPARATIVE LITERATURE-EAST & WEST,,2572-3618,Literature,
11168,COMPARATIVE PHILOSOPHY-AN INTERNATIONAL JOURNAL OF CONSTRUCTIVE ENGAGEMENT OF DISTINCT APPROACHES TOWARD WORLD PHILOSOPHY,,2151-6014,Philosophy,
11169,COMPARATIVE POPULATION STUDIES,1869-8980,1869-8999,Demography,S4210175615
11170,COMPARATIVE SOCIOLOGY,1569-1322,1569-1330,Sociology,S147265922
11171,COMPARATIVE SOUTHEAST EUROPEAN STUDIES,2701-8199,2701-8202,Area Studies,S4210232762
11172,COMPARATIVE STUDIES OF SOUTH ASIA AFRICA AND THE MIDDLE EAST,1089-201X,1548-226X,Area Studies,S52863871
11173,COMPETITIVENESS REVIEW,1059-5422,2051-3143,Business,S4210226649
11174,COMPLEX MANIFOLDS,2300-7443,2300-7443,Mathematics,S2739169767
11175,COMPLEX SYSTEM MODELING AND SIMULATION,2096-9929,2097-3705,"Computer Science, Interdisciplinary Applications | Operations Research & Management Science | Engineering, Multidisciplinary",S4210192143
11176,COMPLEX SYSTEMS,0891-2513,0891-2513,"Mathematics, Interdisciplinary Applications",S102748110
11177,COMPLUTENSE JOURNAL OF ENGLISH STUDIES,2386-3935,2386-6624,Language & Linguistics,S4210182486
11178,COMPOSITES-MECHANICS COMPUTATIONS APPLICATIONS,2152-2057,2152-2073,Mechanics,S4210183327
11179,COMPOSITES PART C: OPEN ACCESS,2666-6820,2666-6820,"Materials Science, Composites",S4210186814
11180,COMPOSITES RESEARCH,2288-2103,2288-2111,"Materials Science, Composites",S4306506682
11181,COMPOSITES THEORY AND PRACTICE,2084-6096,2299-128X,"Materials Science, Composites",
11182,COMPOUNDS,,2673-6918,"Chemistry, Multidisciplinary",
11183,COMPREHENSIVE CHILD AND ADOLESCENT NURSING-BUILDING EVIDENCE FOR PRACTICE,2469-4193,2469-4207,Nursing,S4210189725
11184,COMPREHENSIVE PSYCHONEUROENDOCRINOLOGY,2666-4976,2666-4976,Endocrinology & Metabolism | Neurosciences | Psychiatry,S4210212588
11185,COMPUTABILITY-THE JOURNAL OF THE ASSOCIATION CIE,2211-3568,2211-3576,"Mathematics, Applied",S4210231662
11186,COMPUTACION Y SISTEMAS,1405-5546,2007-9737,"Computer Science, Information Systems",S61446325
11187,COMPUTATION,,2079-3197,"Mathematics, Interdisciplinary Applications",
11188,COMPUTATIONAL AND MATHEMATICAL METHODS,,2577-7408,"Mathematics, Applied",
11189,COMPUTATIONAL CONDENSED MATTER,2352-2143,2352-2143,"Physics, Condensed Matter",S2898583927
11190,COMPUTATIONAL MANAGEMENT SCIENCE,1619-697X,1619-6988,"Social Sciences, Mathematical Methods",S28822639
11191,COMPUTATIONAL METHODS FOR DIFFERENTIAL EQUATIONS,2345-3982,2383-2533,"Mathematics, Applied",S2764847587
11192,COMPUTATIONAL THERMAL SCIENCES,1940-2503,1940-2554,Thermodynamics,S178042044
11193,COMPUTATIONAL TOXICOLOGY,2468-1113,2468-1113,Toxicology,S2898548427
11194,COMPUTATIONAL URBAN SCIENCE,,2730-6852,"Computer Science, Interdisciplinary Applications | Regional & Urban Planning",
11195,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING-IMAGING AND VISUALIZATION,2168-1163,2168-1171,"Engineering, Biomedical",S2764763012
11196,COMPUTER OPTICS,0134-2452,2412-6179,Optics,S2764871730
11197,COMPUTERS,2073-431X,2073-431X,"Computer Science, Interdisciplinary Applications",S4210228075
11198,COMPUTERS AND EDUCATION OPEN,2666-5573,2666-5573,"Computer Science, Interdisciplinary Applications | Education & Educational Research",S4210232537
11199,COMPUTER SCIENCE-AGH,1508-2806,2300-7036,"Computer Science, Theory & Methods",S57947533
11200,COMPUTER SCIENCE EDUCATION,0899-3408,1744-5175,Education & Educational Research,S97147119
11201,COMPUTER SCIENCE JOURNAL OF MOLDOVA,1561-4042,1561-4042,"Computer Science, Theory & Methods",S4387281871
11202,COMPUTERS IN HUMAN BEHAVIOR REPORTS,2451-9588,2451-9588,"Psychology, Multidisciplinary | Psychology, Experimental",S4210198611
11203,COMPUTERS IN THE SCHOOLS,0738-0569,1528-7033,Education & Educational Research,S4210225154
11204,COMUNICACION Y HOMBRE,1885-365X,1885-9542,Communication,S4210186982
11205,COMUNICACION Y MEDIOS,0716-3991,0719-1529,Communication,S2738372282
11206,COMUNICACION Y SOCIEDAD-GUADALAJARA,0188-252X,2448-9042,Communication,S4210171562
11207,COMUNICACIO-REVISTA DE RECERCA I D ANALISI,2014-0304,2014-0444,Communication,
11208,COMUNICACOES,0104-8481,2238-121X,Education & Educational Research,S4210224284
11209,COMUNICAZIONE FILOSOFICA,1128-9082,1128-9082,Philosophy,
11210,COMUNIDAD Y SALUD,1690-3293,1690-3293,"Public, Environmental & Occupational Health",
11211,CON A DE ANIMACION,2173-6049,2173-3511,"Film, Radio, Television",S4210229727
11212,CONCENTRIC-STUDIES IN LINGUISTICS,1810-7478,2589-5230,Language & Linguistics,S2764362627
11213,CONCRETE OPERATORS,2299-3282,2299-3282,Mathematics,S2739337238
11214,CONDENSED MATTER,2410-3896,2410-3896,"Physics, Condensed Matter",S4210240652
11215,CONFINS-REVUE FRANCO-BRESILIENNE DE GEOGRAPHIE-REVISTA FRANCO-BRASILEIRA DE GEOGRAFIA,1958-9212,1958-9212,Geography,S2736889285
11216,CONFLICT RESOLUTION QUARTERLY,1536-5581,1541-1508,"Social Sciences, Interdisciplinary",S2092408
11217,CONFLICT SECURITY & DEVELOPMENT,1467-8802,1478-1174,International Relations,S107313304
11218,CONFLICT STUDIES QUARTERLY,2285-7605,2285-7605,Political Science,S4210190536
11219,CONFLUENZE-RIVISTA DI STUDI IBEROAMERICANI,2036-0967,2036-0967,"Humanities, Multidisciplinary",S2738060796
11220,CONFORMAL GEOMETRY AND DYNAMICS,1088-4173,1088-4173,Mathematics,S4210227478
11221,CONGRESS & THE PRESIDENCY-A JOURNAL OF CAPITAL STUDIES,0734-3469,1944-1053,Political Science,S4210174680
11222,CONIMBRIGA-REVISTA DE ARQUEOLOGIA,0084-9189,1647-8657,Archaeology,S4210194856
11223,CONNECTICUT INSURANCE LAW JOURNAL,1081-9436,1081-9436,Law,
11224,CONNECTIST-ISTANBUL UNIVERSITY JOURNAL OF COMMUNICATION SCIENCES,,2636-8943,Communication,
11225,CONSERVAR PATRIMONIO,1646-043X,2182-9942,"Humanities, Multidisciplinary",S2737646854
11226,CONSERVATION,,2673-7159,Biodiversity Conservation | Environmental Sciences | Ecology,
11227,CONSERVATION SCIENCE IN CULTURAL HERITAGE,1974-4951,1973-9494,"Humanities, Multidisciplinary",
11228,CONSTELACIONES,2340-177X,2531-1360,Architecture,S4210190437
11229,CONSTELACIONES-REVISTA DE TEORIA CRITICA,2172-9506,2172-9506,Philosophy,
11230,CONSTELLATIONS-AN INTERNATIONAL JOURNAL OF CRITICAL AND DEMOCRATIC THEORY,1351-0487,1467-8675,Political Science,S64143016
11231,CONSTITUTIONAL POLITICAL ECONOMY,1043-4062,1572-9966,Law,S166113629
11232,CONSTRUCTION ECONOMICS AND BUILDING,1835-6354,1837-9133,Management,S2764920525
11233,CONSTRUCTION INNOVATION-ENGLAND,1471-4175,1477-0857,Construction & Building Technology,S170139714
11234,CONSTRUCTION MANAGEMENT AND ECONOMICS,0144-6193,1466-433X,Business,S128059648
11235,CONSTRUCTION MATERIALS,,2673-7108,Construction & Building Technology,
11236,CONSTRUCTIONS AND FRAMES,1876-1933,1876-1941,Language & Linguistics,S4210205318
11237,CONSTRUCTIVE MATHEMATICAL ANALYSIS,,2651-2939,Mathematics,
11238,CONSULTING PSYCHOLOGY JOURNAL-PRACTICE AND RESEARCH,1065-9293,1939-0149,"Psychology, Applied",S180513649
11239,CONSUMPTION AND SOCIETY,,2752-8499,Environmental Studies | Sociology,
11240,CONTABILIDADE GESTAO E GOVERNANCA,1984-3925,1984-3925,Management,S2736327412
11241,CONTABILIDAD Y NEGOCIOS,1992-1896,2221-724X,"Business, Finance",S2736886050
11242,CONTADURIA UNIVERSIDAD DE ANTIOQUIA,0120-4203,2590-4604,"Business, Finance",S4306506978
11243,CONTAGION-JOURNAL OF VIOLENCE MIMESIS AND CULTURE,1075-7201,1930-1200,"Humanities, Multidisciplinary",S35120675
11244,CONTEMPORANEA-REVISTA DE SOCIOLOGIA DA UFSCAR,2236-532X,2316-1329,Sociology,S4210171117
11245,CONTEMPORARY ASIA ARBITRATION JOURNAL,1999-9747,1999-9747,Law,
11246,CONTEMPORARY CLINICAL DENTISTRY,0976-237X,0976-2361,"Dentistry, Oral Surgery & Medicine",S69141841
11247,CONTEMPORARY CLINICAL TRIALS COMMUNICATIONS,,2451-8654,"Medicine, Research & Experimental",
11248,CONTEMPORARY DIAGNOSTIC RADIOLOGY,0149-9009,1938-1395,"Radiology, Nuclear Medicine & Medical Imaging",S2764663774
11249,CONTEMPORARY DRUG PROBLEMS,0091-4509,2163-1808,Substance Abuse,S2764474067
11250,CONTEMPORARY ECONOMICS,2084-0845,2300-8814,Economics,S2738848155
11251,CONTEMPORARY EDUCATIONAL TECHNOLOGY,,1309-517X,Education & Educational Research,
11252,CONTEMPORARY EUROPE-SOVREMENNAYA EVROPA,0201-7083,0201-7083,Area Studies,S4210214372
11253,CONTEMPORARY FAMILY THERAPY,0892-2764,1573-3335,"Psychology, Clinical",S35551707
11254,CONTEMPORARY FRENCH CIVILIZATION,0147-9156,2044-396X,Cultural Studies,S2764952477
11255,CONTEMPORARY ISLAM-DYNAMICS OF MUSLIM LIFE,1872-0218,1872-0226,Religion,S180409492
11256,CONTEMPORARY ISSUES IN EARLY CHILDHOOD,1463-9491,1463-9491,Education & Educational Research,S123706233
11257,CONTEMPORARY ITALIAN POLITICS,2324-8823,2324-8831,Political Science,S2764695000
11258,CONTEMPORARY MATHEMATICS,2705-1064,2705-1056,"Mathematics, Applied | Mathematics",S4210223742
11259,CONTEMPORARY REVIEW OF THE MIDDLE EAST,2347-7989,2349-0055,Area Studies | International Relations,S2764525015
11260,CONTEMPORARY SCHOOL PSYCHOLOGY,2159-2020,2161-1505,"Psychology, Educational",S2764409869
11261,CONTEMPORARY SOCIAL SCIENCE,2158-2041,2158-205X,"Social Sciences, Interdisciplinary",S2764708137
